,States,Municipalities,emi_2018,emi_agri_2018,emi_luc_2018,emi_energy_2018,emi_waste_2018,pib_2018,population,Agriculture and Livestock,LUC,Energy,Waste,group
111,MA,Duque Bacelar,57245.47,10914.27,41670,1858.1,2803.1,77042.93,11296,0.19065735681792814,0.7279178597013877,0.03245846352558551,0.048966319955098626,4
112,PI,Eliseu Martins,28238.99,13814.56,6421,5879.56,2123.88,44728.9,4899,0.48920163221135027,0.22738065348654465,0.20820716321653146,0.07521090520588732,5
113,TO,Esperantina,204157.62,91627.86,75138,24733.21,12658.55,464396.13,26261,0.4488094052036853,0.3680391650333698,0.12114762113704107,0.06200380862590384,2
114,MA,EsperantinÃ³polis,153393.02,44927.29,96017,7170.88,5277.85,140506.4,17378,0.2928900545800585,0.6259541666237486,0.046748411368392126,0.034407367427800824,0
115,MA,Estreito,923233.48,243324.75,613612,51279.88,15016.85,983067.57,41355,0.2635571123352242,0.6646336092577578,0.055543782922603716,0.016265495484414194,0
116,TO,FÃ¡tima,124012.49,76924.06,20414,20869.83,5804.6,237730.4,8737,0.6202928430837893,0.16461245153613155,0.16828812968758228,0.04680657569249678,3
117,BA,Feira da Mata,62070.42,51301.35,6722,2004.93,2042.14,45470.67,5667,0.8265023822941749,0.10829635114439375,0.03230089308240544,0.03290037347902592,3
118,MA,Feira Nova do MaranhÃ£o,379747.65,130758.26,243651,3468.2,1870.19,75697.17,8481,0.3443293460802193,0.6416129237402786,0.009132907076580987,0.004924823102921111,0
119,MA,Fernando FalcÃ£o,253645.98,44443.39,205226,2357.75,1618.84,70279.49,10257,0.1752181919066882,0.809104090669996,0.009295436103501423,0.006382281319814333,4
120,TO,FigueirÃ³polis,340275.79,208294.61,98654,31221.38,2105.8,170308.24,5284,0.6121346746414137,0.2899236528111506,0.09175316292704809,0.0061885096203876284,3
121,TO,FiladÃ©lfia,431182.34,230573.21,183961,8140.88,8507.25,221400.93,11773,0.5347464137793769,0.42664316910567346,0.018880365091019265,0.019730052023930293,2
122,MA,Formosa da Serra Negra,724679.77,239351.59,475038,6234.92,4055.26,140047.85,18917,0.3302860103297764,0.6555143660212841,0.008603689875322448,0.005595933773617,0
123,BA,Formosa do Rio Preto,1300880.03,386492.66,818989,87860.38,7537.99,2695149.18,25310,0.2971009248254814,0.6295653566147833,0.06753918729923158,0.005794531260503707,0
124,TO,Formoso do Araguaia,1327504.99,654814.5,644039,20194.14,8457.35,349562.25,18481,0.4932670723896865,0.4851499654249887,0.01521210101063349,0.0063708611746913285,2
125,TO,Fortaleza do TabocÃ£o,348770.96,112367.29,64046,170948.9,1408.78,187372.01,2576,0.32218075151669734,0.18363340801080455,0.4901465993613688,0.004039269783241127,1
126,MA,Fortaleza dos Nogueiras,435492.43,162016.66,259451,10138.0,3886.77,158584.43,12615,0.37203094437255774,0.5957646611675891,0.023279394316911547,0.008925000142941635,0
127,MA,Fortuna,234110.26,74977.54,151514,3491.39,4127.32,108188.22,15536,0.3202659293958325,0.6471907724163819,0.014913442922151297,0.01762981255071862,0
128,PI,GilbuÃ©s,167235.96,52012.57,106979,5287.31,2957.08,226349.11,10685,0.31101307398241385,0.639688975983395,0.03161586778345997,0.017682082250731243,0
129,TO,Goianorte,334198.96,203978.61,123959,3801.0,2460.35,75365.42,5115,0.6103508221569569,0.3709137814193078,0.011373464477567494,0.007361931946167635,2
130,TO,Goiatins,689879.93,144151.61,537700,4721.78,3306.54,161618.19,12942,0.20895173744219517,0.7794109911271081,0.006844350436459283,0.004792920994237359,4
131,MA,GonÃ§alves Dias,471776.0,72995.99,387881,6370.73,4528.29,120877.05,17923,0.15472595045106152,0.8221719629654751,0.013503717866105948,0.009598389913857424,4
132,MA,Governador Archer,199553.49,62552.33,134065,138.79,2797.37,77731.45,10793,0.3134614684012793,0.6718248826417419,0.0006955027446525741,0.014018146212326329,0
133,MA,Governador Edison LobÃ£o,190762.46,68573.47,84467,31613.71,6108.28,257076.42,18068,0.3594704639476761,0.4427862798582069,0.16572291005263823,0.03202034614147878,5
134,MA,Governador EugÃªnio Barros,304530.01,55938.14,241044,3487.47,4060.41,97778.7,16771,0.1836867900145539,0.7915279022911403,0.011451974798805543,0.01333336573298638,4
135,MA,Governador Luiz Rocha,192321.03,26257.44,162104,2138.37,1821.22,55519.64,7771,0.1365292188794954,0.8428823410523539,0.01111875284777749,0.009469687220373144,4
136,MA,GraÃ§a Aranha,167137.78,18984.5,145531,1271.15,1351.13,44434.92,6262,0.11358592892642226,0.8707247397925233,0.007605401962380977,0.008083929318673492,4
137,MA,GrajaÃº,1978841.3,386536.69,1471716,101171.49,19417.13,751654.33,68876,0.1953348608602418,0.743726139130005,0.051126631529269176,0.009812373533946355,4
138,TO,GuaraÃ­,959811.57,238874.74,652533,53267.95,15135.88,651471.89,25676,0.24887670399722311,0.6798553178516071,0.05549834120045042,0.0157696369507194,0
139,TO,Gurupi,557593.11,186711.7,150063,173881.4,46937.01,2202619.84,85737,0.33485295397570464,0.2691263527269912,0.31184280594858854,0.08417788734871563,5
140,MA,Humberto de Campos,53128.37,6378.04,32767,8563.61,5419.73,161349.04,28497,0.12004960814721023,0.6167514644247508,0.1611871397522642,0.10201197589912883,4
141,MA,IgarapÃ© Grande,85883.89,39173.22,38392,4614.06,3704.61,89017.33,11252,0.45611837097737423,0.44702213651477596,0.053724394644909544,0.04313509786294031,2
142,MA,Imperatriz,1217486.75,158429.89,212990,557437.97,288628.89,7126745.97,258016,0.13012863589685886,0.17494235563549254,0.4578595783485939,0.2370694301190547,1
143,TO,Ipueiras,194444.85,86109.4,89779,11783.29,6773.17,30353.79,1976,0.4428474192039542,0.46171960841338816,0.06059965074929987,0.034833373061821896,2
144,TO,ItacajÃ¡,506337.17,161662.23,337767,3908.28,2999.66,99453.55,7414,0.31927782430035706,0.6670792112694394,0.007718730189213642,0.00592423424099005,0
145,TO,Itaguatins,220999.76,110369.16,107860,873.29,1897.31,64203.03,5896,0.49940850614498405,0.4880548286568275,0.003951542752806609,0.008585122445381841,2
146,MA,Itaipava do GrajaÃº,382050.26,61881.67,315268,1885.07,3015.51,84413.43,15897,0.1619725896796929,0.8252003283547039,0.004934089038442219,0.00789296675259428,4
147,MA,Itapecuru Mirim,332933.24,48376.98,203998,57650.46,22907.8,564546.9,67672,0.14530534710201962,0.6127294469005258,0.17315921954803912,0.0688059864494155,0
148,TO,Itapiratins,372763.81,131128.97,237370,2986.34,1278.5,71019.5,3757,0.35177494832451683,0.6367839195548516,0.008011346380433229,0.003429785740198331,0
149,TO,ItaporÃ£ do Tocantins,236218.9,193765.04,40279,1031.32,1143.54,43126.17,2435,0.820277462980312,0.17051556839863363,0.004365950396009803,0.004841018225044651,3
150,MA,Itinga do MaranhÃ£o,1660611.2,227694.68,1391740,29303.1,11873.41,321167.19,25931,0.1371149851331847,0.8380890120456854,0.01764597275990912,0.00715002403934166,4
151,BA,Jaborandi,926377.65,281619.88,609536,28656.16,6565.6,665555.42,8496,0.3040011597861844,0.6579778775966799,0.030933561490823963,0.007087390331578056,0
152,MA,JatobÃ¡,234616.72,58205.57,161493,9312.02,5606.13,64965.42,9993,0.24808790268656045,0.6883269018508144,0.03969035113950958,0.02389484432311559,0
153,TO,JaÃº do Tocantins,365353.0,172609.04,189214,2426.01,1103.95,59958.54,3819,0.47244456730887663,0.5178936535350743,0.006640180866176001,0.0030215982898730816,2
154,MA,Jenipapo dos Vieiras,674038.72,124319.54,543717,2803.85,3198.33,93760.87,16432,0.1844397603745969,0.8066554396162879,0.004159775865695075,0.004745024143420129,4
155,MA,JoÃ£o Lisboa,275011.51,172125.26,89570,6745.84,6570.41,216823.61,23695,0.6258838402799941,0.32569545907369474,0.024529300609999923,0.023891400036311208,2
156,MA,JoselÃ¢ndia,204400.15,38361.39,158504,4088.55,3446.21,100482.81,16136,0.18767789553970485,0.7754593135083316,0.020002676123280733,0.016860114828682857,4
157,TO,Juarina,96969.37,56152.57,38721,908.42,1187.39,30531.73,2202,0.5790753306946307,0.39931165892899995,0.009368112838105475,0.012245000663611614,2
158,PI,JÃºlio Borges,32342.73,28889.58,1243,959.93,1250.21,43181.85,5614,0.8932325749867127,0.0384321298789558,0.029679931162273562,0.03865505478356342,3
159,MA,Lago do Junco,69727.09,21980.73,44561,778.15,2407.22,69286.59,10807,0.31523945714642615,0.6390772940617485,0.011159937981063028,0.03452345422704432,0
160,MA,Lago dos Rodrigues,52074.26,30434.13,16690,2303.39,2646.74,79721.28,8889,0.5844371096199926,0.32050383433197127,0.044232793706526025,0.050826262341509984,2
161,MA,Lago Verde,136280.82,85385.21,44843,2270.94,3781.67,105582.44,16198,0.6265387161597649,0.3290485044043615,0.016663680186250713,0.027749099249622947,2
162,TO,Lagoa da ConfusÃ£o,1850545.2,649070.58,1164326,32897.86,4250.76,483652.75,13033,0.3507455964869164,0.6291799843635271,0.01777738798274152,0.0022970311668150554,0
163,MA,Lagoa do Mato,263610.62,43342.03,216175,1989.32,2104.26,78351.5,11234,0.16441685847102822,0.8200542148112242,0.007546433447939237,0.007982455335069583,4
164,TO,Lagoa do Tocantins,172451.67,28477.81,141436,1242.98,1294.88,39769.11,4236,0.16513502014796377,0.8201486248292057,0.007207700569092778,0.007508654453737676,4
165,TO,Lajeado,309727.49,26918.13,25883,218475.57,38450.79,67656.56,3100,0.08690907610428768,0.08356700917958558,0.7053799777346209,0.12414393698150591,1
166,MA,Lajeado Novo,330214.24,96630.67,223679,7802.42,2102.16,75330.46,7496,0.29263023302689795,0.6773753912005733,0.023628357153828376,0.006366048902070365,0
167,PI,Landri Sales,67555.96,21661.58,42574,1635.1,1685.28,77731.37,5307,0.32064646849811623,0.6302034639134726,0.02420363799137781,0.02494642959703333,0
169,MA,Lima Campos,91854.22,17077.32,68340,3293.73,3143.18,171593.58,11866,0.1859176421072434,0.7440050114191814,0.03585823275185397,0.034219222589882095,4
170,TO,Lizarda,153439.04,48622.11,102167,1307.25,1342.68,42461.34,3747,0.3168822615157133,0.665847492267939,0.008519670091783681,0.008750576124563866,0
171,MA,Loreto,463131.12,91002.76,310002,58509.82,3616.54,221375.18,12098,0.1964945909918556,0.6693611951621822,0.12633532378476317,0.007808890061199084,0
172,BA,LuÃ­s Eduardo MagalhÃ£es,924350.96,211918.03,242229,436433.9,33770.03,6184172.78,84752,0.22926143766865348,0.26205306261595707,0.47215172470854583,0.036533775006843724,1
173,TO,LuzinÃ³polis,71752.78,21605.25,46935,2123.3,1089.23,33685.6,3059,0.30110680032188303,0.6541209971237352,0.02959188480223345,0.015180317752148419,0
174,MA,MagalhÃ£es de Almeida,85089.81,29471.92,39956,11004.3,4657.59,123112.4,19620,0.34636250803709634,0.4695744414049109,0.12932570891861198,0.05473734163938079,5
175,PI,Manoel EmÃ­dio,86024.63,16429.82,66389,1538.62,1667.19,42088.65,5347,0.19098972003715678,0.7717440923605251,0.01788580782038818,0.019380379781929895,4
176,BA,MansidÃ£o,331444.84,39268.79,285573,3106.05,3497.01,76141.72,13546,0.11847760248733998,0.861600379719292,0.00937124258745437,0.010550805376846415,4
177,PI,Marcos Parente,24840.79,12552.76,8541,1872.83,1874.2,41801.34,4549,0.5053285342374377,0.3438296447093671,0.07539333491406673,0.07544848613912843,2
178,TO,MarianÃ³polis do Tocantins,481095.22,219571.6,255516,4705.77,1301.84,126362.49,5094,0.4563994628755613,0.5311131546890032,0.009781369268229272,0.0027059923813003172,2
179,MA,Mata Roma,63661.27,11657.88,39559,7266.16,5178.23,146852.4,16678,0.18312358518766592,0.6213982221843831,0.11413784236475333,0.0813403502631977,0
180,TO,Mateiros,211492.76,72416.02,134747,3622.62,707.12,135482.42,2637,0.34240425062304736,0.6371234646519341,0.017128813298384303,0.0033434714266341787,0
181,MA,MatÃµes,485930.08,33177.5,437652,7423.58,7677.0,184877.03,33614,0.0682762836990869,0.9006480932400809,0.015277053851039639,0.015798569209792487,4
182,MA,MatÃµes do Norte,449841.97,46934.8,399787,27.19,3092.98,78770.41,16451,0.10433619610904693,0.8887276569591762,6.044344861818919e-05,0.006875703483158764,4
183,TO,MaurilÃ¢ndia do Tocantins,135575.14,51525.93,82233,299.3,1516.92,36631.45,3402,0.38005441115531946,0.6065492537938739,0.002207631871152779,0.011188776939489053,0
184,MA,Milagres do MaranhÃ£o,39909.08,12041.63,25858,368.31,1641.14,53338.9,8445,0.3017265745038472,0.6479227283615658,0.009228726896235143,0.04112197023835178,0
185,TO,Miracema do Tocantins,580433.94,261041.66,292501,17955.54,8935.74,526299.77,18566,0.4497353480053217,0.5039350386712397,0.030934683109674812,0.015394930213763862,2
186,MA,Mirador,690446.43,173850.85,500689,8033.25,7873.32,205928.67,20999,0.25179484236018135,0.725167048803482,0.011634863547632508,0.01140323080532113,4
187,MA,Miranda do Norte,487057.62,46731.33,78702,353392.42,8231.86,554676.85,28001,0.09594620447576614,0.16158663116696542,0.7255659402269489,0.01690120359886783,1
188,TO,Miranorte,409807.96,155431.09,179284,69691.48,5401.39,262797.71,13374,0.37927786956602794,0.4374829615315427,0.17005887342939846,0.013180295473030831,5
189,PI,Monte Alegre do PiauÃ­,191013.07,67324.7,114168,6946.94,2573.42,196143.77,10610,0.3524612216326348,0.5976973198744986,0.03636892491178745,0.013472481228640532,0
190,TO,Monte do Carmo,580579.49,190268.68,386963,1327.79,2020.02,178179.42,7827,0.3277220144307888,0.6665116606168778,0.0022870081063318306,0.00347931684600157,0
192,MA,Montes Altos,221866.98,85150.38,131838,2212.13,2666.47,66108.63,9208,0.38379023322893746,0.5942209156134906,0.009970523779608845,0.012018327377963137,0
193,PI,Morro CabeÃ§a no Tempo,26305.61,14391.67,10072,646.74,1195.2,31607.69,4532,0.5470950873216778,0.3828841072303588,0.02458563021347918,0.045435175234484204,2
194,TO,MuricilÃ¢ndia,177039.34,129890.83,45740,294.34,1114.17,43003.23,3513,0.7336834287791629,0.2583606558858613,0.001662568330857989,0.006293347004117843,3
195,TO,Natividade,574028.87,230067.51,314748,21545.46,7667.91,174675.26,9238,0.4007943189338195,0.5483138853277536,0.03753375679519394,0.013358056363959534,0
196,TO,NazarÃ©,125808.47,53294.18,43039,18410.68,11064.6,306086.45,15045,0.423613608845255,0.3420993832927147,0.14633895476194886,0.08794797361417717,5
197,MA,Nina Rodrigues,25897.37,14114.73,8194,759.82,2828.82,72459.96,14263,0.5450256145701282,0.3164027853021369,0.029339658814775404,0.10923194131295959,2
198,MA,Nova Colinas,165999.57,74082.06,89188,1517.85,1211.66,57284.11,5340,0.44627862590246464,0.5372785001792474,0.009143698384278946,0.007299175534008913,2
199,MA,Nova Iorque,75488.19,16916.46,56360,833.62,1378.11,38728.44,4682,0.22409412651170996,0.7466068533369259,0.011043051899906462,0.01825596825145761,4
200,TO,Nova Olinda,544982.12,185140.91,203035,141908.94,14897.27,264337.21,11719,0.339719237027446,0.37255350689303346,0.2603919189128627,0.027335337166657873,5
201,TO,Nova RosalÃ¢ndia,130806.45,47678.22,79530,2418.55,1179.68,55045.83,4214,0.3644944113994379,0.6079975414056417,0.018489531670647742,0.009018515524272696,0
202,TO,Novo Acordo,295794.36,33323.7,257180,3712.11,1578.55,52415.08,4286,0.11265833466195907,0.86945538785797,0.012549630763750872,0.005336646716320082,4
203,TO,Novo Alegre,44702.81,39939.42,2506,1224.78,1032.61,27361.43,2332,0.8934431638637482,0.056059115746862447,0.02739827764742306,0.023099442741966333,3
204,TO,Novo Jardim,79992.02,25296.17,53576,20.56,1099.29,29210.06,2698,0.3162336693085135,0.6697668092392216,0.00025702563830742116,0.013742495813957442,0
205,MA,Olho d'Ãgua das CunhÃ£s,177261.15,118728.42,46095,7041.34,5396.39,150680.8,19448,0.6697938042261375,0.260040059539273,0.039722973702923624,0.030443162531665853,3
206,TO,Oliveira de FÃ¡tima,38742.73,20982.51,17320,10.54,429.69,20322.14,1105,0.541585737504817,0.44705161458678827,0.0002720510402854935,0.011090854981050637,2
207,TO,Palmas,976339.18,169102.56,302847,371447.22,132942.4,9425131.95,291854,0.17320062890439364,0.31018626129497334,0.3804489542251085,0.13616415557552447,5
208,PI,Palmeira do PiauÃ­,246102.07,27264.74,209146,7681.82,2009.51,70830.6,5051,0.11078630911149996,0.8498343796945714,0.03121395931371077,0.00816535188021783,4
209,TO,Palmeirante,682307.48,138823.12,540830,1101.16,1553.21,95872.97,5919,0.20346123129120613,0.7926484991781125,0.0016138764886470247,0.00227640769818323,4
210,TO,Palmeiras do Tocantins,198939.42,66887.69,128199,736.28,3116.45,68754.15,6570,0.33622139845386095,0.6444122537403597,0.0037010261716858323,0.015665321634093433,0
211,TO,PalmeirÃ³polis,242585.23,122346.32,110685,6651.2,2902.71,118770.19,7641,0.5043436486219709,0.45627262632601334,0.027417992430948907,0.01196573262106683,2
212,MA,Paraibano,170699.72,40714.48,111218,10662.38,8104.86,137323.53,21290,0.23851521256156719,0.6515417834311621,0.06246278552770912,0.04748021847956165,0
213,TO,ParaÃ­so do Tocantins,462392.35,168016.92,121641,144590.54,28143.89,1230449.71,50601,0.36336440254688473,0.2630687986079355,0.312700977860036,0.0608658209851439,5
214,TO,ParanÃ£,831596.33,254307.95,566700,7173.93,3414.46,215335.6,10460,0.3058069652616192,0.6814604388646112,0.008626697522823364,0.0041059103760114,0
215,BA,Paratinga,103374.05,78460.58,8824,8296.27,7793.2,215631.28,31852,0.7589968662348046,0.08535991382750313,0.0802548608669197,0.0753883590707726,3
216,PI,ParnaguÃ¡,146974.45,83809.33,51444,2362.7,9358.42,90082.55,10761,0.5702306081090964,0.35002002048655395,0.016075583205108095,0.06367378819924142,2
217,MA,Parnarama,767823.05,132647.88,619688,8043.56,7443.61,228831.83,34805,0.17275839791472788,0.807071368852498,0.010475799078967478,0.00969443415380666,4
218,MA,Passagem Franca,276267.71,54534.5,211825,5369.15,4539.05,147174.5,18898,0.1973972998871276,0.7667381758078061,0.019434591179693057,0.01642989692859871,4
219,MA,Pastos Bons,210928.38,51766.73,137241,15953.53,5967.13,197064.65,19358,0.24542325693678585,0.6506521313063705,0.07563481974308056,0.028289839423220338,0
220,TO,Pau D'Arco,881759.63,406941.38,455885,15312.64,3620.62,69062.53,4831,0.46151055928927026,0.5170173191077029,0.017366002569203582,0.004106130374782524,2
221,MA,Paulino Neves,44693.15,14840.6,20463,5817.76,3571.79,103162.79,15900,0.33205535971396066,0.4578553984223533,0.1301711783573098,0.07991806350637626,5
222,MA,Pedreiras,142602.4,52146.71,56359,20924.32,13172.37,602134.5,39267,0.3656790488799628,0.39521775229589406,0.14673189231036785,0.09237130651377537,5
